2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:107 - Offer added: [ItemID = 1, PricePerUnit = 25, Quantity = 5, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:107 - Offer added: [ItemID = 1, PricePerUnit = 24, Quantity = 10, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:30 - Bid added: [ItemID = 1, PricePerUnit = 25, Quantity = 10, userId = Keith, type = BID]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:107 - Offer added: [ItemID = 1, PricePerUnit = 25, Quantity = 5, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:107 - Offer added: [ItemID = 1, PricePerUnit = 24, Quantity = 10, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:77 - Offer removed: [ItemID = 1, PricePerUnit = 24, Quantity = 10, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:84 - Placed order: [ItemID = 1, PricePerUnit = 24, Quantity = 10, buyerId = Keith, sellerID = Peter]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:30 - Bid added: [ItemID = 1, PricePerUnit = 24, Quantity = 5, userId = Keith, type = BID]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:30 - Bid added: [ItemID = 1, PricePerUnit = 25, Quantity = 10, userId = Keith, type = BID]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:30 - Bid added: [ItemID = 1, PricePerUnit = 24, Quantity = 5, userId = Keith, type = BID]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:30 - Bid added: [ItemID = 1, PricePerUnit = 25, Quantity = 10, userId = Keith, type = BID]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:107 - Offer added: [ItemID = 1, PricePerUnit = 25, Quantity = 15, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:81 - Offer reduced: [ItemID = 1, PricePerUnit = 25, Quantity = 5, userId = Peter, type = OFFER]
2016-04-14 23:18:19 INFO  MarketplaceAuctionImpl:84 - Placed order: [ItemID = 1, PricePerUnit = 25, Quantity = 10, buyerId = Keith, sellerID = Peter]
